# Symbol baseline: rust/crates/openpage/src/webpage/mod.rs
# Generated: 2026-07-22
# Format: line | kind | owner | visibility | role | normalized signature
# Count: 1014
44 | item | - | pub | code | pub enum WebMode
787 | method | impl WebFrame | pub | code | pub fn get(&self, url: &str) -> OpenPageResult<bool>
791 | method | impl WebFrame | pub | code | pub fn goto(&self, url: &str) -> OpenPageResult<()>
795 | method | impl WebFrame | pub | code | pub fn reconnect(&self, wait_ms: u64) -> OpenPageResult<Self>
804 | method | impl WebFrame | pub | code | pub fn disconnect(self) -> OpenPageResult<DisconnectedWebFrame>
814 | method | impl WebFrame | pub | code | pub fn remove_attr(&self, name: &str) -> OpenPageResult<()>
818 | method | impl WebFrame | pub | code | pub fn set_attr(&self, name: &str, value: &str) -> OpenPageResult<()>
822 | method | impl WebFrame | pub | code | pub fn set_property(&self, name: &str, value: &Value) -> OpenPageResult<()>
826 | method | impl WebFrame | pub | code | pub fn set_style(&self, name: &str, value: &str) -> OpenPageResult<()>
830 | method | impl WebFrame | pub | code | pub fn click(&self) -> OpenPageResult<()>
834 | method | impl WebFrame | pub | code | pub fn click_with_options( &self, by_js: Option<bool>, timeout_ms: Option<u64>, wait_stop: bool, ) -> OpenPageResult<bool>
844 | method | impl WebFrame | pub | code | pub fn click_left_with_options( &self, by_js: Option<bool>, timeout_ms: Option<u64>, wait_stop: bool, ) -> OpenPageResult<bool>
854 | method | impl WebFrame | pub | code | pub fn click_at( &self, offset_x: Option<f64>, offset_y: Option<f64>, button: &str, count: u32, ) -> OpenPageResult<()>
864 | method | impl WebFrame | pub | code | pub fn click_multi(&self, times: u32) -> OpenPageResult<()>
868 | method | impl WebFrame | pub | code | pub fn click_left(&self) -> OpenPageResult<()>
872 | method | impl WebFrame | pub | code | pub fn click_right(&self) -> OpenPageResult<()>
876 | method | impl WebFrame | pub | code | pub fn input<'a, I>(&self, text: I) -> OpenPageResult<()> where I: Into<ActionsInput<'a>>,
883 | method | impl WebFrame | pub | code | pub fn input_with_options<'a, I>(&self, text: I, clear: bool, by_js: bool) -> OpenPageResult<()> where I: Into<ActionsInput<'a>>,
890 | method | impl WebFrame | pub | code | pub fn input_keys_with_options<'a, I>( &self, values: I, clear: bool, by_js: bool, ) -> OpenPageResult<()> where I: Into<ActionsInput<'a>>,
902 | method | impl WebFrame | pub | code | pub fn press_key(&self, key: &str) -> OpenPageResult<()>
906 | method | impl WebFrame | pub | code | pub fn clear(&self) -> OpenPageResult<()>
910 | method | impl WebFrame | pub | code | pub fn clear_with_mode(&self, by_js: bool) -> OpenPageResult<()>
914 | method | impl WebFrame | pub | code | pub fn submit(&self) -> OpenPageResult<()>
918 | method | impl WebFrame | pub | code | pub fn focus(&self) -> OpenPageResult<()>
922 | method | impl WebFrame | pub | code | pub fn hover(&self) -> OpenPageResult<()>
926 | method | impl WebFrame | pub | code | pub fn hover_with_offset( &self, offset_x: Option<f64>, offset_y: Option<f64>, ) -> OpenPageResult<()>
934 | method | impl WebFrame | pub | code | pub fn drag(&self, offset_x: f64, offset_y: f64, duration_secs: f64) -> OpenPageResult<()>
938 | method | impl WebFrame | pub | code | pub fn drag_to<'a, T>(&self, target: T, duration_secs: f64) -> OpenPageResult<()> where T: Into<WebElementDragTarget<'a>>,
957 | method | impl WebFrame | private | code | fn drag_to_browser_element( &self, target: &WebElement, duration_secs: f64, ) -> OpenPageResult<()>
970 | method | impl WebFrame | pub | code | pub fn drag_to_point(&self, x: f64, y: f64, duration_secs: f64) -> OpenPageResult<()>
974 | method | impl WebFrame | pub | code | pub fn set_checked(&self, checked: bool) -> OpenPageResult<()>
978 | method | impl WebFrame | pub | code | pub fn check(&self, uncheck: bool, by_js: bool) -> OpenPageResult<()>
982 | method | impl WebFrame | pub | code | pub fn uncheck(&self, by_js: bool) -> OpenPageResult<()>
986 | method | impl WebFrame | pub | code | pub fn active_element(&self) -> OpenPageResult<Option<WebElement>>
992 | method | impl WebFrame | pub | code | pub fn active_ele(&self) -> OpenPageResult<Option<WebElement>>
996 | method | impl WebFrame | pub | code | pub fn ele<'a, L>(&self, locator: L) -> OpenPageResult<ElementsOneOwned<WebElement>> where L: Into<LocatorInput<'a>>,
1006 | method | impl WebFrame | pub | code | pub fn find<'a, L>(&self, locator: L) -> OpenPageResult<WebElement> where L: Into<LocatorInput<'a>>,
1015 | method | impl WebFrame | pub | code | pub fn find_all<'a, L>(&self, locator: L) -> OpenPageResult<Vec<WebElement>> where L: Into<LocatorInput<'a>>,
1027 | method | impl WebFrame | pub | code | pub fn eles<'a, L>(&self, locator: L) -> OpenPageResult<Vec<WebElement>> where L: Into<LocatorInput<'a>>,
1034 | method | impl WebFrame | pub | code | pub fn get_frame<'a, L>(&self, target: L) -> OpenPageResult<WebFrame> where L: Into<PageFrameTarget<'a>>,
1043 | method | impl WebFrame | pub | code | pub fn get_frame_with_timeout<'a, L>( &self, target: L, timeout_ms: u64, ) -> OpenPageResult<WebFrame> where L: Into<PageFrameTarget<'a>>,
1056 | method | impl WebFrame | pub | code | pub fn get_frame_by_index<I>(&self, index: I) -> OpenPageResult<WebFrame> where I: FrameIndexInput,
1065 | method | impl WebFrame | pub | code | pub fn get_frame_by_index_with_timeout<I>( &self, index: I, timeout_ms: u64, ) -> OpenPageResult<WebFrame> where I: FrameIndexInput,
1078 | method | impl WebFrame | pub | code | pub fn get_frame_ele<'a, L>(&self, target: L) -> OpenPageResult<WebElement> where L: Into<PageFrameTarget<'a>>,
1087 | method | impl WebFrame | pub | code | pub fn get_frame_ele_with_timeout<'a, L>( &self, target: L, timeout_ms: u64, ) -> OpenPageResult<WebElement> where L: Into<PageFrameTarget<'a>>,
1100 | method | impl WebFrame | pub | code | pub fn get_frame_ele_by_index<I>(&self, index: I) -> OpenPageResult<WebElement> where I: FrameIndexInput,
1109 | method | impl WebFrame | pub | code | pub fn get_frame_ele_by_index_with_timeout<I>( &self, index: I, timeout_ms: u64, ) -> OpenPageResult<WebElement> where I: FrameIndexInput,
1122 | method | impl WebFrame | pub | code | pub fn get_frames<'a, L>(&self, locator: Option<L>) -> OpenPageResult<Vec<WebFrame>> where L: Into<LocatorInput<'a>>,
1134 | method | impl WebFrame | pub | code | pub fn get_frames_with_timeout<'a, L>( &self, locator: Option<L>, timeout_ms: u64, ) -> OpenPageResult<Vec<WebFrame>> where L: Into<LocatorInput<'a>>,
1152 | method | impl WebFrame | pub | code | pub fn get_frame_eles<'a, L>(&self, locator: Option<L>) -> OpenPageResult<Vec<WebElement>> where L: Into<LocatorInput<'a>>,
1164 | method | impl WebFrame | pub | code | pub fn get_frame_eles_with_timeout<'a, L>( &self, locator: Option<L>, timeout_ms: u64, ) -> OpenPageResult<Vec<WebElement>> where L: Into<LocatorInput<'a>>,
1182 | method | impl WebFrame | pub | code | pub fn get_frame_context<'a, L>(&self, target: L) -> OpenPageResult<WebFrame> where L: Into<PageFrameTarget<'a>>,
1189 | method | impl WebFrame | pub | code | pub fn get_frame_context_by_index<I>(&self, index: I) -> OpenPageResult<WebFrame> where I: FrameIndexInput,
1196 | method | impl WebFrame | pub | code | pub fn get_frame_contexts<'a, L>(&self, locator: Option<L>) -> OpenPageResult<Vec<WebFrame>> where L: Into<LocatorInput<'a>>,
1203 | method | impl WebFrame | pub | code | pub fn find_locators<'a, L>( &self, locators: L, any_one: bool, first_match_only: bool, ) -> OpenPageResult<Vec<LocatorMatch<WebElement>>> where L: Into<LocatorBatchInput<'a>>,
1229 | method | impl WebFrame | pub | code | pub fn parent(&self) -> OpenPageResult<WebElement>
1235 | method | impl WebFrame | pub | code | pub fn parent_level(&self, level: usize) -> OpenPageResult<WebElement>
1241 | method | impl WebFrame | pub | code | pub fn parent_with<'a, L>(&self, locator: L, index: usize) -> OpenPageResult<WebElement> where L: Into<LocatorInput<'a>>,
1250 | method | impl WebFrame | pub | code | pub fn child(&self) -> OpenPageResult<WebElement>
1256 | method | impl WebFrame | pub | code | pub fn child_with<'a, L>(&self, locator: Option<L>, index: usize) -> OpenPageResult<WebElement> where L: Into<LocatorInput<'a>>,
1265 | method | impl WebFrame | pub | code | pub fn children(&self) -> OpenPageResult<Vec<WebElement>>
1274 | method | impl WebFrame | pub | code | pub fn children_with<'a, L>(&self, locator: Option<L>) -> OpenPageResult<Vec<WebElement>> where L: Into<LocatorInput<'a>>,
1286 | method | impl WebFrame | pub | code | pub fn prev(&self) -> OpenPageResult<WebElement>
1292 | method | impl WebFrame | pub | code | pub fn prev_with<'a, L>(&self, locator: Option<L>, index: usize) -> OpenPageResult<WebElement> where L: Into<LocatorInput<'a>>,
1301 | method | impl WebFrame | pub | code | pub fn next(&self) -> OpenPageResult<WebElement>
1307 | method | impl WebFrame | pub | code | pub fn next_with<'a, L>(&self, locator: Option<L>, index: usize) -> OpenPageResult<WebElement> where L: Into<LocatorInput<'a>>,
1316 | method | impl WebFrame | pub | code | pub fn before(&self) -> OpenPageResult<WebElement>
1322 | method | impl WebFrame | pub | code | pub fn before_with<'a, L>(&self, locator: Option<L>, index: usize) -> OpenPageResult<WebElement> where L: Into<LocatorInput<'a>>,
1331 | method | impl WebFrame | pub | code | pub fn after(&self) -> OpenPageResult<WebElement>
1337 | method | impl WebFrame | pub | code | pub fn after_with<'a, L>(&self, locator: Option<L>, index: usize) -> OpenPageResult<WebElement> where L: Into<LocatorInput<'a>>,
1346 | method | impl WebFrame | pub | code | pub fn prevs(&self) -> OpenPageResult<Vec<WebElement>>
1355 | method | impl WebFrame | pub | code | pub fn prevs_with<'a, L>(&self, locator: Option<L>) -> OpenPageResult<Vec<WebElement>> where L: Into<LocatorInput<'a>>,
1367 | method | impl WebFrame | pub | code | pub fn nexts(&self) -> OpenPageResult<Vec<WebElement>>
1376 | method | impl WebFrame | pub | code | pub fn nexts_with<'a, L>(&self, locator: Option<L>) -> OpenPageResult<Vec<WebElement>> where L: Into<LocatorInput<'a>>,
1388 | method | impl WebFrame | pub | code | pub fn befores(&self) -> OpenPageResult<Vec<WebElement>>
1397 | method | impl WebFrame | pub | code | pub fn befores_with<'a, L>(&self, locator: Option<L>) -> OpenPageResult<Vec<WebElement>> where L: Into<LocatorInput<'a>>,
1409 | method | impl WebFrame | pub | code | pub fn afters(&self) -> OpenPageResult<Vec<WebElement>>
1418 | method | impl WebFrame | pub | code | pub fn afters_with<'a, L>(&self, locator: Option<L>) -> OpenPageResult<Vec<WebElement>> where L: Into<LocatorInput<'a>>,
1430 | method | impl WebFrame | pub | code | pub fn over(&self) -> OpenPageResult<Option<WebElement>>
1436 | method | impl WebFrame | pub | code | pub fn over_with_timeout(&self, timeout_ms: u64) -> OpenPageResult<Option<WebElement>>
1442 | method | impl WebFrame | pub | code | pub fn offset<'a, L>( &self, locator: Option<L>, x: Option<f64>, y: Option<f64>, timeout_ms: u64, ) -> OpenPageResult<WebElement> where L: Into<LocatorInput<'a>>,
1457 | method | impl WebFrame | pub | code | pub fn east<'a, L>( &self, locator: Option<L>, pixels: Option<i64>, index: usize, ) -> OpenPageResult<WebElement> where L: Into<LocatorInput<'a>>,
1471 | method | impl WebFrame | pub | code | pub fn south<'a, L>( &self, locator: Option<L>, pixels: Option<i64>, index: usize, ) -> OpenPageResult<WebElement> where L: Into<LocatorInput<'a>>,
1485 | method | impl WebFrame | pub | code | pub fn west<'a, L>( &self, locator: Option<L>, pixels: Option<i64>, index: usize, ) -> OpenPageResult<WebElement> where L: Into<LocatorInput<'a>>,
1499 | method | impl WebFrame | pub | code | pub fn north<'a, L>( &self, locator: Option<L>, pixels: Option<i64>, index: usize, ) -> OpenPageResult<WebElement> where L: Into<LocatorInput<'a>>,
1513 | method | impl WebFrame | pub | code | pub fn screenshot_bytes( &self, scroll_to_center: bool, timeout_ms: u64, ) -> OpenPageResult<Vec<u8>>
1521 | method | impl WebFrame | pub | code | pub fn screenshot_base64( &self, scroll_to_center: bool, timeout_ms: u64, ) -> OpenPageResult<String>
1529 | method | impl WebFrame | pub | code | pub fn get_screenshot( &self, path: Option<&Path>, name: Option<&str>, scroll_to_center: bool, timeout_ms: u64, ) -> OpenPageResult<std::path::PathBuf>
1540 | method | impl WebFrame | pub | code | pub fn save_screenshot(&self, path: impl AsRef<Path>) -> OpenPageResult<()>
1544 | method | impl WebFrame | pub | code | pub fn scroll_to_top(&self) -> OpenPageResult<()>
1548 | method | impl WebFrame | pub | code | pub fn scroll_to_bottom(&self) -> OpenPageResult<()>
1552 | method | impl WebFrame | pub | code | pub fn scroll_to_half(&self) -> OpenPageResult<()>
1556 | method | impl WebFrame | pub | code | pub fn scroll_to_rightmost(&self) -> OpenPageResult<()>
1560 | method | impl WebFrame | pub | code | pub fn scroll_to_leftmost(&self) -> OpenPageResult<()>
1564 | method | impl WebFrame | pub | code | pub fn scroll_to_location(&self, x: f64, y: f64) -> OpenPageResult<()>
1568 | method | impl WebFrame | pub | code | pub fn scroll_up(&self, pixels: f64) -> OpenPageResult<()>
1572 | method | impl WebFrame | pub | code | pub fn scroll_down(&self, pixels: f64) -> OpenPageResult<()>
1576 | method | impl WebFrame | pub | code | pub fn scroll_left(&self, pixels: f64) -> OpenPageResult<()>
1580 | method | impl WebFrame | pub | code | pub fn scroll_right(&self, pixels: f64) -> OpenPageResult<()>
1584 | method | impl WebFrame | pub | code | pub fn scroll_position(&self) -> OpenPageResult<(f64, f64)>
1588 | method | impl WebFrame | pub | code | pub fn location(&self) -> OpenPageResult<Option<(f64, f64)>>
1592 | method | impl WebFrame | pub | code | pub fn viewport_location(&self) -> OpenPageResult<Option<(f64, f64)>>
1596 | method | impl WebFrame | pub | code | pub fn screen_location(&self) -> OpenPageResult<Option<(f64, f64)>>
1600 | method | impl WebFrame | pub | code | pub fn size(&self) -> OpenPageResult<Option<(f64, f64)>>
1604 | method | impl WebFrame | pub | code | pub fn viewport_size(&self) -> OpenPageResult<Option<(f64, f64)>>
1608 | method | impl WebFrame | pub | code | pub fn corners(&self) -> OpenPageResult<Option<[(f64, f64); 4]>>
1612 | method | impl WebFrame | pub | code | pub fn viewport_corners(&self) -> OpenPageResult<Option<[(f64, f64); 4]>>
1616 | method | impl WebFrame | pub | code | pub fn ready_state(&self) -> OpenPageResult<Option<String>>
1620 | method | impl WebFrame | pub | code | pub fn is_loading(&self) -> OpenPageResult<bool>
1624 | method | impl WebFrame | pub | code | pub fn is_alive(&self) -> OpenPageResult<bool>
1628 | method | impl WebFrame | pub | code | pub fn is_displayed(&self) -> OpenPageResult<bool>
1632 | method | impl WebFrame | pub | code | pub fn is_enabled(&self) -> OpenPageResult<bool>
